Title,Author,Original language,Published,Genre,Sales
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,fiction,12
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,fiction,25
Dream of the Red Chamber,Cao Xueqin,Chinese,1791,family saga,100
Grimms' Fairy Tales (Kinder- und Hausmärchen),Jacob and Wilhelm Grimm,German,1812,folklore,135
Pride and Prejudice,Jane Austen,English,1813,fiction,20
Alice's Adventures in Wonderland,Lewis Carroll,English,1865,fantasy novel,100
War and Peace,Leo Tolstoy,Russian,1869,historical novel,36
Black Beauty,Anna Sewell,English,1877,children's literature,50
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,historical novel,50
Heidi,Johanna Spyri,German,1880,children's fiction,50
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,fantasy,80
Adventures of Huckleberry Finn,Mark Twain,English,1885,young adult fiction,20
She: A History of Adventure,H. Rider Haggard,English,1887,adventure,83
A Message to Garcia,Elbert Hubbard,English,1899,fiction,40
The Tale of Peter Rabbit,Beatrix Potter,English,1902,children's fiction,45
Anne of Green Gables,Lucy Maud Montgomery,English,1908,general,50
The Wind in the Willows,Kenneth Grahame,English,1908,fiction,25
The Good Soldier Švejk,Jaroslav Hašek,Czech,1923,fiction,20
The Prophet,Kahlil Gibran,English,1923,fiction,11
The Great Gatsby,F. Scott Fitzgerald,English,1925,fiction,30
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,historical novel,20
How the Steel Was Tempered,Nikolai Ostrovsky,Russian,1932,fiction,36.4
God's Little Acre,Erskine Caldwell,English,1933,fiction,14
Lust for Life,Irving Stone,English,1934,historical novel,25
Virgin Soil Upturned,Mikhail Sholokhov,Russian,1935,fiction,24
Gone with the Wind,Margaret Mitchell,English,1936,historical novel,30
How to Win Friends and Influence People,Dale Carnegie,English,1936,self-improvement,15
Uncle Styopa,Sergey Mikhalkov,Russian,1936,fiction,21
The Hobbit,J. R. R. Tolkien,English,1937,fantasy,100
Think and Grow Rich,Napoleon Hill,English,1937,self-improvement,100
Rebecca,Daphne du Maurier,English,1938,young adult fiction,30
And Then There Were None,Agatha Christie,English,1939,mystery,100
The Grapes of Wrath,John Steinbeck,English,1939,historical novel,15
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,children's fiction,15
The Stranger (L'Étranger),Albert Camus,French,1942,fiction,10
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,fantasy,200
Animal Farm,George Orwell,English,1945,fiction,20
The Young Guard,Alexander Alexandrovich Fadeyev,Russian,1945,fiction,26
Autobiography of a Yogi,Paramahansa Yogananda,Hindi,1946,fiction,20
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,self-improvement,12
The Common Sense Book of Baby and Child Care,Dr. Benjamin Spock,English,1946,manual,50
Goodnight Moon,Margaret Wise Brown,English,1947,children's fiction,16
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,biography,35
The Plague (La Peste),Albert Camus,French,1947,fiction,12
No Longer Human,Osamu Dazai,Japanese,1948,fiction,12
Nineteen Eighty-Four,George Orwell,English,1949,fiction,30
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,historical novel,20
The Lion  the Witch and the Wardrobe,C. S. Lewis,English,1950,fantasy,85
The Catcher in the Rye,J. D. Salinger,English,1951,coming-of-age,65
The Revolt of Mamie Stover,William Bradford Huie,English,1951,fiction,30
Charlotte's Web,E.B. White,English,1952,children's fiction,50
The Old Man and the Sea,Ernest Hemingway,English,1952,historical novel,13
The Power of Positive Thinking,Norman Vincent Peale,English,1952,self-improvement,20
Fahrenheit 451,Ray Bradbury,English,1953,science fiction,10
The Lord of the Rings,J. R. R. Tolkien,English,1954,fantasy,150
Lolita,Vladimir Nabokov,English,1955,general,50
The Ginger Man,J. P. Donleavy,English,1955,children's fiction,50
Peyton Place,Grace Metalious,English,1956,fiction,12.1
The Cat in the Hat,Dr. Seuss,English,1957,children's fiction,10.5
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,historical novel,10
Things Fall Apart,Chinua Achebe,English,1958,fiction,20
To Kill a Mockingbird,Harper Lee,English,1960,fiction,40
Catch-22,Joseph Heller,English,1961,historical novel,10
A Wrinkle in Time,Madeleine L'Engle,English,1962,children's fiction,14
Where the Wild Things Are,Maurice Sendak,English,1963,children's fiction,20
Charlie and the Chocolate Factory,Roald Dahl,English,1964,children's fiction,20
Dune,Frank Herbert,English,1965,science fiction,20
The Gospel According to Peanuts,Robert L. Short,English,1965,fiction,10
Valley of the Dolls,Jacqueline Susann,English,1966,fiction,31
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,magic realism,50
The Master and Margarita,Mikhail Bulgakov,Russian,1967,fantasy,100
The Outsiders,S. E. Hinton,English,1967,young adult fiction,15
The Naked Ape,Desmond Morris,English,1968,fiction,20
The Godfather,Mario Puzo,English,1969,fiction,21
The Very Hungry Caterpillar,Eric Carle,English,1969,children's fiction,43
Jonathan Livingston Seagull,Richard Bach,English,1970,fantasy,44
Love Story,Erich Segal,English,1970,fiction,21
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,self-improvement,10
The Exorcist,William Peter Blatty,English,1971,fiction,11
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,fiction,20
The Joy of Sex,Alex Comfort,English,1972,self-improvement,10
Watership Down,Richard Adams,English,1972,fantasy,50
Fear of Flying,Erica Jong,English,1973,fiction,20
Jaws,Peter Benchley,English,1974,fiction,20
The Bermuda Triangle,Charles Berlitz,English,1974,fiction,20
The Front Runner,Patricia Nell Warren,English,1974,young adult fiction,10
The Total Woman,Marabel Morgan,English,1974,self-improvement,10
Life After Life,Raymond Moody,English,1975,fiction,13
Sh?gun,James Clavell,English,1975,historical novel,15
The Eagle Has Landed,Jack Higgins,English,1975,war,50
The Hite Report,Shere Hite,English,1976,documentary,50
Your Erroneous Zones,Wayne Dyer,English,1976,self-improvement,35
The Thorn Birds,Colleen McCullough,English,1977,fiction,33
The Women's Room,Marilyn French,English,1977,fiction,20
Eye of the Needle,Ken Follett,English,1978,fiction,10
Flowers in the Attic,V. C. Andrews,English,1979,fiction,40
Kane and Abel,Jeffrey Archer,English,1979,fiction,37
Problems in China's Socialist Economy,Xue Muqiao,Chinese,1979,self-improvement,10
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,science fiction,14
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,children's fiction,16
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,historical novel,50
Totto-chan  the Little Girl at the Window,Tetsuko Kuroyanagi,Japanese,1981,fiction,18
The Secret Diary of Adrian Mole  Aged 13¾,Sue Townsend,English,1982,children's fiction,20
The Goal,Eliyahu M. Goldratt,English,1984,fiction,10
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,self-improvement,20
You Can Heal Your Life,Louise Hay,English,1984,self-improvement,50
Knowledge-value Revolution,Taichi Sakaiya,Japanese,1985,self-improvement,10
Perfume (Das Parfum),Patrick Süskind,German,1985,fiction,15
Love You Forever,Robert Munsch,English,1986,children's fiction,20
Norwegian Wood,Haruki Murakami,Japanese,1987,fiction,12
A Brief History of Time,Stephen Hawking,English,1988,science,10
Matilda,Roald Dahl,United Kingdom,1988,children's fiction,17
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,fantasy,100
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,self-improvement,25
The Pillars of the Earth,Ken Follett,English,1989,fiction,15
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,fiction,40
Diana: Her True Story,Andrew Morton,English,1992,historical novel,10
The Bridges of Madison County,Robert James Waller,English,1992,romance,60
Vardi Wala Gunda,Ved Prakash Sharma,Hindi,1992,detective,80
Wild Swans,Jung Chang,English,1992,fiction,10
The Celestine Prophecy,James Redfield,English,1993,self-improvement,23
The Giver,Lois Lowry,English,1993,children's fiction,10
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,s,14
Guess How Much I Love You,Sam McBratney,English,1994,children's fiction,15
Long Walk to Freedom,Nelson Mandela,English,1994,fiction,14
Santa Evita,Tomás Eloy Martínez,Spanish,1995,fiction,10
The Horse Whisperer,Nicholas Evans,English,1995,fiction,16
Angela's Ashes,Frank McCourt,Ireland,1996,fiction,10
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,fantasy,120
Tuesdays with Morrie,Mitch Albom,English,1997,fiction,14
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,fantasy,77
Who Moved My Cheese?,Spencer Johnson,English,1998,self-improvement,26
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,fantasy,65
The Gruffalo,Julia Donaldson,English,1999,fiction,10.5
Angels & Demons,Dan Brown,English,2000,fiction,39
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,fantasy,65
Interpreter of Maladies,Jhumpa Lahiri,English,2000,fiction,15
The Dukan Diet,Pierre Dukan,French,2000,self-improvement,10
Life of Pi,Yann Martel,English,2001,fiction,10
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,fiction,15
The Lovely Bones,Alice Sebold,English,2002,historical novel,10
The Purpose Driven Life,Rick Warren,English,2002,self-improvement,33
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,fantasy,65
The Da Vinci Code,Dan Brown,English,2003,mystery thriller,80
The Kite Runner,Khaled Hosseini,English,2003,historical novel,31.5
Wolf Totem,Jiang Rong,Chinese,2004,fiction,20
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,fantasy,65
The Book Thief,Markus Zusak,English,2005,young adult fiction,16
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,fiction,30
Confucius from the Heart,Yu Dan,Chinese,2006,self-improvement,10
The Secret,Rhonda Byrne,English,2006,fiction,20
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,fantasy,65
The Shack,William P. Young,English,2007,fiction,22
The Hunger Games,Suzanne Collins,English,2008,young adult fiction,29
Catching Fire,Suzanne Collins,English,2009,young adult fiction,21
The Help,Kathryn Stockett,English,2009,historical novel,10
The Lost Symbol,Dan Brown,English,2009,fiction,30
Mockingjay,Suzanne Collins,English,2010,young adult fiction,20
Gone Girl,Gillian Flynn,English,2012,fiction,20
Me Before You,Jojo Moyes,English,2012,fiction,12
The Fault in Our Stars,John Green,English,2012,fiction,23
The Girl on the Train,Paula Hawkins,English,2015,fiction,20
Becoming,Michelle Obama,English,2018,fiction,11.5
